NDC Description,NDC,NADAC Per Unit,Effective Date,Pricing Unit,Pharmacy Type Indicator,OTC,Explanation Code,Classification for Rate Setting,Corresponding Generic Drug NADAC Per Unit,Corresponding Generic Drug Effective Date,As of Date
AMBIEN 5 MG TABLET,24540131,20.62033,02/19/2025,EA,C/I,N,2,B,0.0352,03/19/2025,03/19/2025
AMBIEN CR 12.5 MG TABLET,24552131,20.63082,02/19/2025,EA,C/I,N,2,B,0.12613,03/19/2025,03/19/2025
AMBIEN CR 6.25 MG TABLET,24550131,20.65275,02/19/2025,EA,C/I,N,2,B,0.14849,03/19/2025,03/19/2025
AMITIZA 24 MCG CAPSULE,64764024060,5.94985,02/19/2025,EA,C/I,N,4,B,0.82898,03/19/2025,03/19/2025
AMITIZA 24 MCG CAPSULE,23635052460,6.44309,03/19/2025,EA,C/I,N,1,B,0.82898,03/19/2025,03/19/2025
AMITIZA 8 MCG CAPSULE,64764008060,5.94262,03/19/2025,EA,C/I,N,1,B,0.74983,03/19/2025,03/19/2025
AMITIZA 8 MCG CAPSULE,23635050860,6.44421,03/19/2025,EA,C/I,N,1,B,0.74983,03/19/2025,03/19/2025
AMRIX ER 15 MG CAPSULE,63459070060,60.54165,01/01/2025,EA,C/I,N,4,B,1.19479,03/19/2025,03/19/2025
AMRIX ER 30 MG CAPSULE,63459070160,60.84743,01/01/2025,EA,C/I,N,4,B,2.76206,02/19/2025,03/19/2025
ANDROGEL 1.62% GEL PUMP,51846233,7.90527,05/22/2024,GM,C/I,N,"4, 5",B,0.50189,03/19/2025,03/19/2025
APRISO ER 0.375 GRAM CAPSULE,65649010302,4.07323,03/19/2025,EA,C/I,N,1,B,0.5127,03/19/2025,03/19/2025
APTENSIO XR 10 MG CAPSULE,42858040145,8.0066,12/18/2024,EA,C/I,N,4,B,3.50213,02/19/2025,03/19/2025
APTENSIO XR 15 MG CAPSULE,42858040245,7.96958,03/19/2025,EA,C/I,N,1,B,2.64819,02/19/2025,03/19/2025
APTENSIO XR 20 MG CAPSULE,42858040345,7.98115,03/19/2025,EA,C/I,N,1,B,5.9068,05/22/2024,03/19/2025
APTENSIO XR 30 MG CAPSULE,42858040445,8.00843,03/19/2025,EA,C/I,N,1,B,2.87749,02/19/2025,03/19/2025
APTENSIO XR 40 MG CAPSULE,42858040545,7.96152,03/19/2025,EA,C/I,N,1,B,4.22913,12/18/2024,03/19/2025
APTENSIO XR 50 MG CAPSULE,42858040645,7.96959,03/19/2025,EA,C/I,N,1,B,4.44741,02/19/2025,03/19/2025
APTENSIO XR 60 MG CAPSULE,42858040745,8.03645,03/19/2025,EA,C/I,N,1,B,5.62938,03/19/2025,03/19/2025
ARICEPT 10 MG TABLET,62856024630,16.19693,02/19/2025,EA,C/I,N,4,B,0.05098,03/19/2025,03/19/2025
ARICEPT 23 MG TABLET,62856024730,14.3864,02/19/2025,EA,C/I,N,4,B,0.76136,03/19/2025,03/19/2025
ARIMIDEX 1 MG TABLET,62559067030,51.75344,03/19/2025,EA,C/I,N,1,B,0.15294,03/19/2025,03/19/2025
AROMASIN 25 MG TABLET,9766304,36.6728,09/18/2024,EA,C/I,N,4,B,0.79872,03/19/2025,03/19/2025
ARTHROTEC 75 MG-200 MCG TAB,25142160,8.43925,01/01/2025,EA,C/I,N,4,B,1.10979,03/19/2025,03/19/2025
ATACAND 16 MG TABLET,62559064230,7.88228,03/19/2025,EA,C/I,N,1,B,0.63785,03/19/2025,03/19/2025
ATACAND 16 MG TABLET,62559064290,7.88228,03/19/2025,EA,C/I,N,1,B,0.63785,03/19/2025,03/19/2025
ATACAND 32 MG TABLET,62559064330,9.94328,03/19/2025,EA,C/I,N,1,B,0.74105,03/19/2025,03/19/2025
ATACAND 32 MG TABLET,62559064390,9.94328,03/19/2025,EA,C/I,N,1,B,0.74105,03/19/2025,03/19/2025
ATACAND 8 MG TABLET,62559064130,7.2148,01/22/2025,EA,C/I,N,4,B,0.72821,03/19/2025,03/19/2025
ATELVIA DR 35 MG TABLET,430097903,63.90458,03/19/2025,EA,C/I,N,1,B,26.19817,03/19/2025,03/19/2025
ATIVAN 0.5 MG TABLET,187006301,35.43634,01/01/2025,EA,C/I,N,4,B,0.04287,03/19/2025,03/19/2025
ATIVAN 1 MG TABLET,187006401,47.52837,01/01/2025,EA,C/I,N,4,B,0.04949,03/19/2025,03/19/2025
ATIVAN 1 MG TABLET,187006410,47.52837,01/01/2025,EA,C/I,N,4,B,0.04949,03/19/2025,03/19/2025
ATIVAN 2 MG TABLET,187006501,75.96023,01/01/2025,EA,C/I,N,4,B,0.07291,03/19/2025,03/19/2025
AVALIDE 300-12.5 MG TABLET,24585630,9.71247,08/21/2024,EA,C/I,N,4,B,0.20283,03/19/2025,03/19/2025
AVAPRO 150 MG TABLET,24585130,7.36058,03/19/2025,EA,C/I,N,1,B,0.12409,03/19/2025,03/19/2025
AVAPRO 300 MG TABLET,24585230,8.81525,03/19/2025,EA,C/I,N,1,B,0.18274,03/19/2025,03/19/2025
AVAPRO 75 MG TABLET,24585090,6.98798,03/19/2025,EA,C/I,N,1,B,0.12155,03/19/2025,03/19/2025
AZILECT 0.5 MG TABLET,68546014256,40.26172,01/01/2025,EA,C/I,N,4,B,1.06452,03/19/2025,03/19/2025
AZILECT 1 MG TABLET,68546022956,40.2929,01/01/2025,EA,C/I,N,4,B,1.03208,03/19/2025,03/19/2025
AZOPT 1% EYE DROPS,78072210,35.11771,03/19/2025,ML,C/I,N,"1, 5",B,14.98096,03/19/2025,03/19/2025
AZOPT 1% EYE DROPS,66758008570,35.11771,03/19/2025,ML,C/I,N,"1, 5",B,14.98096,03/19/2025,03/19/2025
AZOPT 1% EYE DROPS,78072215,35.29388,03/19/2025,ML,C/I,N,"1, 5",B,16.12028,03/19/2025,03/19/2025
AZOPT 1% EYE DROPS,66758008585,35.29388,03/19/2025,ML,C/I,N,"1, 5",B,16.12028,03/19/2025,03/19/2025
AZOR 10-40 MG TABLET,713087330,16.137,03/19/2025,EA,C/I,N,1,B,0.34837,03/19/2025,03/19/2025
AZOR 5-20 MG TABLET,713087030,12.791,03/19/2025,EA,C/I,N,1,B,0.32376,03/19/2025,03/19/2025
AZOR 5-20 MG TABLET,65597011030,12.791,03/19/2025,EA,C/I,N,1,B,0.32376,03/19/2025,03/19/2025
BALCOLTRA TABLET,75854060203,9.73518,01/01/2025,EA,C/I,N,4,B,5.81854,03/19/2025,03/19/2025
BALCOLTRA TABLET,75854060228,9.73518,01/01/2025,EA,C/I,N,4,B,5.81854,03/19/2025,03/19/2025
BANZEL 200 MG TABLET,62856058252,12.6445,03/19/2025,EA,C/I,N,1,B,1.6863,03/19/2025,03/19/2025
BANZEL 40 MG/ML SUSPENSION,62856058446,3.65414,03/19/2025,ML,C/I,N,"1, 5",B,0.28508,03/19/2025,03/19/2025
BANZEL 400 MG TABLET,62856058352,25.30847,03/19/2025,EA,C/I,N,1,B,1.91724,03/19/2025,03/19/2025
BARACLUDE 0.5 MG TABLET,3161112,44.0651,03/19/2025,EA,C/I,N,1,B,0.29923,03/19/2025,03/19/2025
BENICAR 20 MG TABLET,713086130,10.26498,03/19/2025,EA,C/I,N,1,B,0.08393,03/19/2025,03/19/2025
BENICAR 40 MG TABLET,713086230,14.24203,03/19/2025,EA,C/I,N,1,B,0.12382,03/19/2025,03/19/2025
BENICAR 5 MG TABLET,713086030,8.40552,03/19/2025,EA,C/I,N,1,B,0.06486,03/19/2025,03/19/2025
BENICAR HCT 20-12.5 MG TABLET,713086330,10.30521,03/19/2025,EA,C/I,N,1,B,0.18939,03/19/2025,03/19/2025
BENICAR HCT 40-12.5 MG TABLET,713086430,14.15617,03/19/2025,EA,C/I,N,1,B,0.24647,03/19/2025,03/19/2025
BENICAR HCT 40-25 MG TABLET,713086530,14.23498,03/19/2025,EA,C/I,N,1,B,0.23038,03/19/2025,03/19/2025
BENZAMYCIN GEL,187520546,1.2922,03/19/2025,GM,C/I,N,"1, 5",B,0.99961,03/19/2025,03/19/2025
BEPREVE 1.5% EYE DROPS,24208062901,53.81112,01/01/2025,ML,C/I,N,"4, 5",B,16.28129,03/19/2025,03/19/2025
BEPREVE 1.5% EYE DROPS,24208062902,56.01227,01/01/2025,ML,C/I,N,"2, 5",B,18.83711,03/19/2025,03/19/2025
BETADINE 10% SOLUTION,67618015009,0.01295,03/19/2025,ML,C/I,Y,"1, 5, 6",B,0.01854,03/19/2025,03/19/2025
BEYAZ 28 TABLET,50419040701,8.34172,03/19/2025,EA,C/I,N,1,B,1.48411,03/19/2025,03/19/2025
BEYAZ 28 TABLET,50419040703,8.34172,03/19/2025,EA,C/I,N,1,B,1.48411,03/19/2025,03/19/2025
BIDIL 20 MG-37.5 MG TABLET,24338001009,4.38942,03/19/2025,EA,C/I,N,1,B,0.96177,03/19/2025,03/19/2025
BIDIL 20 MG-37.5 MG TABLET,24338001018,4.38942,03/19/2025,EA,C/I,N,1,B,0.96177,03/19/2025,03/19/2025
BREO ELLIPTA 100-25 MCG INHALR,173085910,6.51157,03/19/2025,EA,C/I,N,"1, 5",B,3.81316,03/19/2025,03/19/2025
BREO ELLIPTA 200-25 MCG INHALR,173088210,6.51101,03/19/2025,EA,C/I,N,"1, 5",B,3.82294,03/19/2025,03/19/2025
BROMSITE 0.075% EYE DROPS,49708075441,49.70115,03/19/2025,ML,C/I,N,"1, 5",B,23.80344,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,27437005560,9.60569,03/19/2025,ML,C/I,N,"1, 5",B,0.81564,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,27437006060,9.60569,03/19/2025,ML,C/I,N,"1, 5",B,0.81564,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,63402091164,9.60569,03/19/2025,ML,C/I,N,"1, 5",B,0.81564,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,27437005530,9.68326,03/19/2025,ML,C/I,N,"1, 5",B,0.65568,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,27437006030,9.68326,03/19/2025,ML,C/I,N,"1, 5",B,0.65568,03/19/2025,03/19/2025
BROVANA 15 MCG/2 ML SOLUTION,63402091130,9.68326,03/19/2025,ML,C/I,N,"1, 5",B,0.65568,03/19/2025,03/19/2025
BUTRANS 10 MCG/HR PATCH,59011075104,73.83015,03/19/2025,EA,C/I,N,1,B,34.09542,03/19/2025,03/19/2025
BUTRANS 15 MCG/HR PATCH,59011075804,124.84178,03/19/2025,EA,C/I,N,1,B,58.16033,03/19/2025,03/19/2025
BUTRANS 20 MCG/HR PATCH,59011075204,131.32755,03/19/2025,EA,C/I,N,1,B,59.21596,03/19/2025,03/19/2025
BUTRANS 5 MCG/HR PATCH,59011075004,49.01378,03/19/2025,EA,C/I,N,1,B,21.38976,03/19/2025,03/19/2025
BUTRANS 7.5 MCG/HR PATCH,59011075704,68.8077,03/19/2025,EA,C/I,N,1,B,35.38438,03/19/2025,03/19/2025
BYSTOLIC 10 MG TABLET,456141090,6.13182,01/02/2025,EA,C/I,N,2,B,0.15233,03/19/2025,03/19/2025
BYSTOLIC 2.5 MG TABLET,456140230,6.15358,01/02/2025,EA,C/I,N,2,B,0.11856,03/19/2025,03/19/2025
BYSTOLIC 20 MG TABLET,456142090,6.13494,01/02/2025,EA,C/I,N,4,B,0.19433,03/19/2025,03/19/2025
BYSTOLIC 5 MG TABLET,456140590,6.13945,01/02/2025,EA,C/I,N,2,B,0.118,03/19/2025,03/19/2025
"CANASA 1,000 MG SUPPOSITORY",58914050156,37.13662,03/19/2025,EA,C/I,N,1,B,1.8342,03/19/2025,03/19/2025
CARAFATE 1 GM TABLET,58914017110,4.76612,03/19/2025,EA,C/I,N,1,B,0.1775,03/19/2025,03/19/2025
CARAFATE 1 GM/10 ML SUSP,58914017014,0.61004,03/19/2025,ML,C/I,N,"1, 5",B,0.17722,03/19/2025,03/19/2025
CARBATROL ER 100 MG CAPSULE,54092017112,1.70188,03/19/2025,EA,C/I,N,1,B,1.06988,03/19/2025,03/19/2025
CARBATROL ER 200 MG CAPSULE,54092017212,1.69951,03/19/2025,EA,C/I,N,1,B,0.97611,03/19/2025,03/19/2025
CARBATROL ER 300 MG CAPSULE,54092017312,1.697,03/19/2025,EA,C/I,N,1,B,1.12083,03/19/2025,03/19/2025
CARDIZEM CD 120 MG CAPSULE,187079530,27.23083,03/19/2025,EA,C/I,N,1,B,0.15214,03/19/2025,03/19/2025
CARDIZEM CD 120 MG CAPSULE,187079542,27.23083,03/19/2025,EA,C/I,N,1,B,0.15214,03/19/2025,03/19/2025
CARDIZEM CD 240 MG CAPSULE,187079730,46.66267,03/19/2025,EA,C/I,N,1,B,0.22221,03/19/2025,03/19/2025
CARDIZEM CD 240 MG CAPSULE,187079742,46.66267,03/19/2025,EA,C/I,N,1,B,0.22221,03/19/2025,03/19/2025
CARDIZEM LA 120 MG TABLET,187204530,3.65658,03/19/2025,EA,C/I,N,1,B,1.40779,03/19/2025,03/19/2025
CARDIZEM LA 120 MG TABLET,187204590,3.65658,03/19/2025,EA,C/I,N,1,B,1.40779,03/19/2025,03/19/2025
CARDIZEM LA 180 MG TABLET,187204630,3.8314,05/22/2024,EA,C/I,N,4,B,1.4551,03/19/2025,03/19/2025
CARDIZEM LA 180 MG TABLET,187204690,3.8314,05/22/2024,EA,C/I,N,4,B,1.4551,03/19/2025,03/19/2025
CARDIZEM LA 240 MG TABLET,187204730,4.34239,03/19/2025,EA,C/I,N,1,B,1.76045,03/19/2025,03/19/2025
CARDIZEM LA 240 MG TABLET,187204790,4.34239,03/19/2025,EA,C/I,N,1,B,1.76045,03/19/2025,03/19/2025
CARNITOR 1 GM/10 ML ORAL SOLN,54482014509,0.33971,01/01/2025,ML,C/I,N,"4, 5",B,0.1502,03/19/2025,03/19/2025
CARNITOR 100 MG/ML ORAL SOLN,54482014508,0.33971,01/01/2025,ML,C/I,N,"4, 5",B,0.1502,03/19/2025,03/19/2025
CARNITOR 330 MG TABLET,54482014407,1.19494,01/01/2025,EA,C/I,N,4,B,0.73933,03/19/2025,03/19/2025
CARNITOR SF 100 MG/ML ORAL SOL,54482014801,0.41209,01/01/2025,ML,C/I,N,"4, 5",B,0.24913,03/19/2025,03/19/2025
CAROSPIR 25 MG/5 ML SUSPENSION,46287002004,3.54034,03/19/2025,ML,C/I,N,"1, 5",B,2.02747,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,25152031,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,25152034,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,25152051,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,58151008301,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,58151008305,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,58151008332,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 100 MG CAPSULE,58151008388,9.56399,03/19/2025,EA,C/I,N,1,B,0.07869,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,25152531,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,25152534,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,25152551,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,58151008401,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,58151008405,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 200 MG CAPSULE,58151008488,15.72095,03/19/2025,EA,C/I,N,1,B,0.1002,03/19/2025,03/19/2025
CELEBREX 50 MG CAPSULE,58151008291,4.45396,03/19/2025,EA,C/I,N,1,B,0.09072,03/19/2025,03/19/2025
CELESTONE SOLUSPAN 30 MG/5 ML,78206011801,8.32359,01/01/2025,ML,C/I,N,"4, 5",B,8.79457,03/19/2025,03/19/2025
CELEXA 20 MG TABLET,456402001,9.05655,03/19/2025,EA,C/I,N,1,B,0.03196,03/19/2025,03/19/2025
CELEXA 40 MG TABLET,456404001,9.47947,03/19/2025,EA,C/I,N,1,B,0.04433,03/19/2025,03/19/2025
CELLCEPT 200 MG/ML ORAL SUSP,4026129,8.32856,03/19/2025,ML,C/I,N,"1, 5",B,1.68477,03/19/2025,03/19/2025
CELLCEPT 250 MG CAPSULE,4025901,8.67498,03/19/2025,EA,C/I,N,1,B,0.17433,03/19/2025,03/19/2025
CELLCEPT 250 MG CAPSULE,4025943,8.67498,03/19/2025,EA,C/I,N,1,B,0.17433,03/19/2025,03/19/2025
CELLCEPT 500 MG TABLET,4026001,17.33105,03/19/2025,EA,C/I,N,1,B,0.27861,03/19/2025,03/19/2025
CELLCEPT 500 MG TABLET,4026043,17.33105,03/19/2025,EA,C/I,N,1,B,0.27861,03/19/2025,03/19/2025
CIALIS 20 MG TABLET,2446430,54.15844,03/19/2025,EA,C/I,N,1,B,0.23,03/19/2025,03/19/2025
CIALIS 5 MG TABLET,2446230,9.23281,03/19/2025,EA,C/I,N,1,B,0.11382,03/19/2025,03/19/2025
CLARINEX 5 MG TABLET,78206018801,8.46098,01/01/2025,EA,C/I,N,4,B,0.30737,03/19/2025,03/19/2025
CLEOCIN 2% VAGINAL CREAM,9344801,1.75534,01/01/2025,GM,C/I,N,"4, 5",B,1.57137,03/19/2025,03/19/2025
CLEOCIN T 1% LOTION,9332901,0.76406,07/17/2024,ML,C/I,N,"4, 5",B,0.34489,03/19/2025,03/19/2025
CLIMARA 0.025 MG/DAY PATCH,50419045401,18.2225,03/19/2025,EA,C/I,N,1,B,13.06683,03/19/2025,03/19/2025
CLIMARA 0.025 MG/DAY PATCH,50419045404,18.2225,03/19/2025,EA,C/I,N,1,B,13.06683,03/19/2025,03/19/2025
CLIMARA 0.0375 MG/DAY PATCH,50419045601,18.315,03/19/2025,EA,C/I,N,1,B,11.82631,03/19/2025,03/19/2025
CLIMARA 0.0375 MG/DAY PATCH,50419045604,18.315,03/19/2025,EA,C/I,N,1,B,11.82631,03/19/2025,03/19/2025
CLIMARA 0.05 MG/DAY PATCH,50419045101,18.27816,03/19/2025,EA,C/I,N,1,B,11.82523,03/19/2025,03/19/2025
CLIMARA 0.05 MG/DAY PATCH,50419045104,18.27816,03/19/2025,EA,C/I,N,1,B,11.82523,03/19/2025,03/19/2025
CLIMARA 0.06 MG/DAY PATCH,50419045901,18.26806,03/19/2025,EA,C/I,N,1,B,12.56596,03/19/2025,03/19/2025
CLIMARA 0.06 MG/DAY PATCH,50419045904,18.26806,03/19/2025,EA,C/I,N,1,B,12.56596,03/19/2025,03/19/2025
CLIMARA 0.075 MG/DAY PATCH,50419045301,18.31833,03/19/2025,EA,C/I,N,1,B,13.91081,03/19/2025,03/19/2025
CLIMARA 0.075 MG/DAY PATCH,50419045304,18.31833,03/19/2025,EA,C/I,N,1,B,13.91081,03/19/2025,03/19/2025
CLIMARA 0.1 MG/DAY PATCH,50419045201,18.32825,03/19/2025,EA,C/I,N,1,B,12.14079,03/19/2025,03/19/2025
CLIMARA 0.1 MG/DAY PATCH,50419045204,18.32825,03/19/2025,EA,C/I,N,1,B,12.14079,03/19/2025,03/19/2025
CLINDAGEL 1% GEL,16781046275,22.40864,06/19/2024,ML,C/I,N,"4, 5",B,6.05988,03/19/2025,03/19/2025
CLOZARIL 100 MG TABLET,69809012705,15.70718,03/19/2025,EA,C/I,N,1,B,0.60916,03/19/2025,03/19/2025
CLOZARIL 25 MG TABLET,69809012605,6.10525,06/01/2024,EA,C/I,N,4,B,0.28707,03/19/2025,03/19/2025
COLACE 100 MG CAPSULE,67618010101,0.30398,03/19/2025,EA,C/I,Y,"1, 6",B,0.02743,03/19/2025,03/19/2025
COLACE 100 MG CAPSULE,67618010130,0.30398,03/19/2025,EA,C/I,Y,"1, 6",B,0.02743,03/19/2025,03/19/2025
COLACE 100 MG CAPSULE,67618010152,0.30398,03/19/2025,EA,C/I,Y,"1, 6",B,0.02743,03/19/2025,03/19/2025
COLACE 100 MG CAPSULE,67618010160,0.30398,03/19/2025,EA,C/I,Y,"1, 6",B,0.02743,03/19/2025,03/19/2025
COLACE 2-IN-1 TABLET,67618011010,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,03/19/2025
COLACE 2-IN-1 TABLET,67618011030,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,03/19/2025
COLACE 2-IN-1 TABLET,67618011060,0.40796,03/19/2025,EA,C/I,Y,"1, 6",B,0.03041,03/19/2025,03/19/2025
COLACE-T 100 MG CAPSULE,67618010110,0.30398,03/19/2025,EA,C/I,Y,"1, 6",B,0.02743,03/19/2025,03/19/2025
COLCRYS 0.6 MG TABLET,64764011901,6.9085,02/19/2025,EA,C/I,N,4,B,0.18875,03/19/2025,03/19/2025
COLCRYS 0.6 MG TABLET,64764011907,6.9085,02/19/2025,EA,C/I,N,4,B,0.18875,03/19/2025,03/19/2025
COMBIGAN 0.2%-0.5% EYE DROPS,23921105,39.19043,03/19/2025,ML,C/I,N,"1, 5",B,6.31553,03/19/2025,03/19/2025
COMBIGAN 0.2%-0.5% EYE DROPS,23921110,39.19656,03/19/2025,ML,C/I,N,"1, 5",B,7.8329,03/19/2025,03/19/2025
COMBIGAN 0.2%-0.5% EYE DROPS,23921115,39.20221,03/19/2025,ML,C/I,N,"1, 5",B,9.31788,03/19/2025,03/19/2025
CONCERTA ER 18 MG TABLET,50458058501,12.3574,03/19/2025,EA,C/I,N,1,B,0.6856,03/19/2025,03/19/2025
CONCERTA ER 27 MG TABLET,50458058801,12.66588,03/19/2025,EA,C/I,N,1,B,0.70515,03/19/2025,03/19/2025
CONCERTA ER 36 MG TABLET,50458058601,13.06946,03/19/2025,EA,C/I,N,1,B,0.80847,03/19/2025,03/19/2025
CONCERTA ER 54 MG TABLET,50458058701,14.21898,03/19/2025,EA,C/I,N,1,B,0.84784,03/19/2025,03/19/2025
CONDYLOX 0.5% GEL,23611803,172.53225,03/19/2025,GM,C/I,N,"1, 5",B,123.94742,03/19/2025,03/19/2025
COPAXONE 20 MG/ML SYRINGE,68546031730,229.63842,03/19/2025,ML,C/I,N,"1, 5",B,48.70964,03/19/2025,03/19/2025
COPAXONE 40 MG/ML SYRINGE,68546032512,494.58513,01/01/2025,ML,C/I,N,"4, 5",B,98.42457,03/19/2025,03/19/2025
CORLANOR 5 MG TABLET,55513080060,10.00427,01/08/2025,EA,C/I,N,2,B,3.83604,03/19/2025,03/19/2025
CORLANOR 7.5 MG TABLET,55513081060,10.00974,01/08/2025,EA,C/I,N,2,B,4.33232,03/19/2025,03/19/2025
CORTEF 10 MG TABLET,9003101,1.62021,03/19/2025,EA,C/I,N,1,B,0.24243,03/19/2025,03/19/2025
CORTEF 5 MG TABLET,9001201,0.96395,03/19/2025,EA,C/I,N,1,B,0.15288,03/19/2025,03/19/2025
COSOPT EYE DROPS,82584060510,23.223,03/19/2025,ML,C/I,N,"1, 5",B,1.18201,03/19/2025,03/19/2025
COSOPT PF EYE DROPS,82584060430,3.30412,03/19/2025,EA,C/I,N,"1, 5",B,1.26059,03/19/2025,03/19/2025
COZAAR 100 MG TABLET,78206012301,5.86553,01/01/2025,EA,C/I,N,4,B,0.0531,03/19/2025,03/19/2025
COZAAR 100 MG TABLET,78206012302,5.86553,01/01/2025,EA,C/I,N,4,B,0.0531,03/19/2025,03/19/2025
COZAAR 25 MG TABLET,78206012101,3.20556,01/01/2025,EA,C/I,N,4,B,0.03,03/19/2025,03/19/2025
COZAAR 50 MG TABLET,78206012201,4.29918,01/01/2025,EA,C/I,N,2,B,0.03867,03/19/2025,03/19/2025
COZAAR 50 MG TABLET,78206012202,4.29918,01/01/2025,EA,C/I,N,2,B,0.03867,03/19/2025,03/19/2025
CRESTOR 10 MG TABLET,310757090,8.86043,03/19/2025,EA,C/I,N,1,B,0.04246,03/19/2025,03/19/2025
CRESTOR 20 MG TABLET,310758090,8.84071,03/19/2025,EA,C/I,N,1,B,0.05912,03/19/2025,03/19/2025
CRESTOR 40 MG TABLET,310759030,8.84973,03/19/2025,EA,C/I,N,1,B,0.09207,03/19/2025,03/19/2025
CRESTOR 5 MG TABLET,310756090,8.85857,03/19/2025,EA,C/I,N,1,B,0.04135,03/19/2025,03/19/2025
CUVPOSA 1 MG/5 ML SOLUTION,259050116,1.00855,03/19/2025,ML,C/I,N,"1, 5",B,0.34575,03/19/2025,03/19/2025
CYMBALTA 20 MG CAPSULE,2323560,7.99738,03/19/2025,EA,C/I,N,1,B,0.1102,03/19/2025,03/19/2025
CYMBALTA 30 MG CAPSULE,2324030,8.97288,03/19/2025,EA,C/I,N,1,B,0.08381,03/19/2025,03/19/2025
CYMBALTA 30 MG CAPSULE,2324090,8.97288,03/19/2025,EA,C/I,N,1,B,0.08381,03/19/2025,03/19/2025
CYMBALTA 60 MG CAPSULE,2327030,8.96369,03/19/2025,EA,C/I,N,1,B,0.11627,03/19/2025,03/19/2025
CYTOMEL 25 MCG TABLET,60793011601,0.51049,03/19/2025,EA,C/I,N,1,B,0.33855,03/19/2025,03/19/2025
CYTOMEL 5 MCG TABLET,60793011501,0.36886,03/19/2025,EA,C/I,N,1,B,0.24253,03/19/2025,03/19/2025
DALIRESP 250 MCG TABLET,310008828,14.5311,01/01/2025,EA,C/I,N,4,B,2.62788,03/19/2025,03/19/2025
DALIRESP 250 MCG TABLET,310008839,14.5311,01/01/2025,EA,C/I,N,4,B,2.62788,03/19/2025,03/19/2025
DALIRESP 500 MCG TABLET,310009530,14.59834,01/01/2025,EA,C/I,N,4,B,0.35421,03/19/2025,03/19/2025
DALIRESP 500 MCG TABLET,310009590,14.59834,01/01/2025,EA,C/I,N,4,B,0.35421,03/19/2025,03/19/2025
DAYTRANA 10 MG/9 HR PATCH,68968555201,5.75779,03/19/2025,EA,C/I,N,1,B,8.81006,03/19/2025,03/19/2025
DAYTRANA 10 MG/9 HR PATCH,68968555203,5.75779,03/19/2025,EA,C/I,N,1,B,8.81006,03/19/2025,03/19/2025
DAYTRANA 15 MG/9 HR PATCH,68968555301,5.75495,03/19/2025,EA,C/I,N,1,B,7.57809,03/19/2025,03/19/2025
DAYTRANA 15 MG/9 HR PATCH,68968555303,5.75495,03/19/2025,EA,C/I,N,1,B,7.57809,03/19/2025,03/19/2025
DAYTRANA 20 MG/9 HOUR PATCH,68968555401,5.75339,03/19/2025,EA,C/I,N,1,B,8.71711,03/19/2025,03/19/2025
DAYTRANA 20 MG/9 HOUR PATCH,68968555403,5.75339,03/19/2025,EA,C/I,N,1,B,8.71711,03/19/2025,03/19/2025
DAYTRANA 30 MG/9 HOUR PATCH,68968555503,5.77014,03/19/2025,EA,C/I,N,1,B,8.67507,03/19/2025,03/19/2025
DDAVP 0.1 MG TABLET,55566260000,7.4783,01/22/2025,EA,C/I,N,4,B,0.31096,03/19/2025,03/19/2025
DELESTROGEN 100 MG/5 ML VIAL,42023011101,36.04573,03/19/2025,ML,C/I,N,"1, 5",B,22.30439,03/19/2025,03/19/2025
DELESTROGEN 50 MG/5 ML VIAL,42023011001,25.45272,03/19/2025,ML,C/I,N,"1, 5",B,16.7519,03/19/2025,03/19/2025
